,gc_content,mean_coverage
271,0.3352,5.0243
272,0.3892,5.7896
273,0.3547,5.1799
274,0.4387,5.1257
275,0.3591,5.8104
276,0.3558,5.6946
277,0.3929,5.3084
278,0.3916,5.939
279,0.3569,4.7299
280,0.3788,4.9756
281,0.4487,5.0992
282,0.4324,5.2155
283,0.3483,5.3132
284,0.3777,4.9793
285,0.3974,5.2586
286,0.3562,5.4271
287,0.3545,5.2718
288,0.3911,4.6032
289,0.4744,5.2334
290,0.4063,5.0423
291,0.5747,3.9145
292,0.4242,5.3654
293,0.4142,5.1797
294,0.3849,5.4096
295,0.4388,5.0947
296,0.3548,5.4009
297,0.3272,4.503
298,0.3568,5.6189
299,0.351,5.1289
300,0.3524,5.3279
301,0.4117,5.6069
302,0.4125,5.8258
303,0.4113,4.9643
304,0.4112,5.5457
305,0.3912,5.583
306,0.3855,2.5595
307,0.3964,13.7992
308,0.344,5.7559
309,0.4707,4.6834
310,0.3517,5.0264
311,0.3812,5.3817
312,0.3535,5.2263
313,0.3874,5.4821
314,0.4579,4.558
315,0.3736,5.4082
316,0.4783,4.6081
317,0.4006,5.0341
318,0.3598,5.0382
319,0.3308,5.6478
320,0.3519,5.3865
321,0.3805,5.1407
322,0.3353,4.9682
323,0.3921,6.063
324,0.3674,5.55
325,0.3522,5.5368
326,0.3406,5.1292
327,0.3966,5.6355
328,0.4474,4.9443
329,0.4176,5.2147
330,0.3406,5.5165
331,0.405,5.1126
332,0.3746,5.2912
333,0.4026,5.7143
334,0.3885,5.8102
335,0.3872,5.3755
336,0.4083,5.1425
337,0.405,4.7427
338,0.5032,4.5123
339,0.3982,5.327
340,0.3536,4.5871
341,0.4732,5.403
342,0.3756,5.3915
343,0.4066,5.3254
344,0.4011,6.2032
345,0.3477,5.3598
346,0.4077,4.5454
347,0.4719,4.915
348,0.5042,5.1869
349,0.4301,4.6166
350,0.5035,4.4557
351,0.4096,5.3911
352,0.4559,4.3822
353,0.4582,4.3117
354,0.4074,5.7246
355,0.4046,5.8096
356,0.3986,5.3476
357,0.3667,5.4032
358,0.3527,5.0693
359,0.411,4.8694
360,0.3615,5.84
361,0.4033,5.6442
362,0.5117,4.7503
363,0.4857,4.9507
364,0.3971,5.5176
365,0.5241,4.3524
366,0.3835,5.187
367,0.3998,5.197
368,0.4376,5.1951
369,0.3958,5.9389
370,0.3981,10.8398
371,0.4,5.4678
372,0.403,4.5606
373,0.3527,5.8477
374,0.4013,4.7774
375,0.3616,5.314
376,0.3654,5.2314
377,0.3521,4.1724
378,0.3692,4.947
379,0.4228,4.9423
380,0.3913,5.9024
381,0.413,4.8272
382,0.3495,5.2784
383,0.3887,5.4766
384,0.342,5.3282
385,0.331,5.0206
386,0.4408,4.7839
387,0.4027,4.8921
388,0.4081,5.0898
389,0.3855,5.0046
390,0.3768,5.4076
391,0.4062,6.138
392,0.3519,5.2082
393,0.3578,5.4281
394,0.3642,5.9009
395,0.3873,4.9636
396,0.4158,5.052
397,0.374,5.3708
398,0.3657,5.6007
399,0.3707,5.0511
400,0.4232,5.0087
401,0.3615,5.5427
402,0.4537,5.4004
403,0.3664,5.4319
404,0.3662,5.3459
405,0.5015,4.4599
406,0.4837,4.8885
407,0.4423,5.1729
408,0.3607,5.2474
409,0.4488,5.2138
410,0.3507,5.0834
411,0.3922,4.7682
412,0.3751,6.038
413,0.3738,5.6145
414,0.4037,4.9808
415,0.4869,4.5739
416,0.4073,4.9825
417,0.3957,4.9051
418,0.4403,4.9914
419,0.4425,5.0176
420,0.3868,4.4049
421,0.4186,5.5237
422,0.3497,5.2364
423,0.3648,5.9011
424,0.3674,5.7088
425,0.3927,5.5085
426,0.3867,4.931
427,0.371,5.3786
428,0.3944,5.713
429,0.445,5.7519
430,0.4556,5.0116
431,0.5148,4.4239
432,0.5344,3.7603
433,0.3923,4.8908
434,0.3397,5.9747
435,0.4068,4.709
436,0.3367,5.6109
437,0.3999,5.5843
438,0.3472,4.9406
439,0.4006,6.3396
440,0.4671,4.6685
441,0.3472,5.2575
442,0.3699,6.0119
443,0.4427,5.4182
444,0.3922,5.4879
445,0.3351,5.1891
446,0.336,5.1271
447,0.3331,5.438
448,0.3538,5.7568
449,0.3995,5.5477
450,0.4145,5.2181
451,0.4066,4.5436
452,0.3962,5.6684
453,0.4463,5.1744
454,0.4635,4.7486
455,0.3523,5.0801
456,0.4384,5.3382
457,0.4091,5.1587
458,0.4693,5.1173
459,0.4296,5.0477
460,0.3952,5.1382
461,0.3793,5.1157
462,0.4646,4.7666
463,0.4674,5.4132
464,0.3444,5.3763
465,0.3429,4.9791
466,0.3947,4.6232
467,0.5065,4.6256
468,0.3901,4.8908
469,0.5003,4.5988
470,0.3846,5.5284
471,0.36,4.9786
472,0.3919,5.4278
473,0.4457,5.0185
474,0.3665,4.8135
475,0.4091,5.1434
476,0.3638,5.6502
477,0.4141,5.0468
478,0.4148,5.2563
479,0.445,4.808
480,0.353,5.2529
481,0.3399,5.7393
482,0.423,5.8293
483,0.3808,6.1345
484,0.3552,5.0434
485,0.3205,6.1015
486,0.3954,5.6934
487,0.3506,5.1853
488,0.3914,5.1077
489,0.3343,5.2118
490,0.3651,5.1383
491,0.4059,4.6408
492,0.4252,5.6351
493,0.4506,5.4786
494,0.385,5.5348
495,0.3382,5.5368
496,0.3927,5.1929
497,0.343,5.2082
498,0.3379,5.8661
499,0.3893,4.7335
500,0.3938,4.9436
501,0.3873,6.0679
502,0.3993,5.936
503,0.3939,4.7273
504,0.4635,5.0536
505,0.3783,5.3984
506,0.4867,4.7334
507,0.6531,2.8123
508,0.4164,5.7144
509,0.4874,5.2674
510,0.4091,5.5633
511,0.3277,5.4807
512,0.3017,5.4837
513,0.3606,5.3142
514,0.4255,4.4655
515,0.3814,5.2024
516,0.3621,5.302
517,0.3335,4.4209
518,0.4183,5.4859
519,0.4073,5.0796
520,0.3894,4.7575
521,0.3589,6.492
522,0.3735,5.5076
523,0.0,0.0
524,0.0,0.0
525,0.0,0.0
526,0.0,0.0
527,0.0,0.0
528,0.4923,5.7141
529,0.4727,3.1127
530,0.4185,5.218
531,0.3787,5.1698
532,0.3463,5.3643
533,0.4135,4.6228
534,0.3597,4.6902
535,0.4565,4.7765
536,0.3788,5.1053
537,0.4492,5.1496
538,0.4032,5.1226
539,0.3943,5.4624
540,0.5024,4.6942
541,0.3906,5.4702
542,0.3414,5.4937
543,0.3621,5.015
544,0.3077,4.0133
545,0.4148,6.6647
546,0.347,5.8745
547,0.407,5.2016
548,0.4878,4.3417
549,0.3642,5.7522
550,0.5028,3.8885
551,0.4085,4.2891
552,0.5503,3.6691
553,0.4728,4.5416
554,0.4248,4.912
555,0.4779,4.873
556,0.3678,5.5931
557,0.436,5.1297
558,0.446,4.8257
559,0.4571,5.4186
560,0.4252,4.5194
561,0.4162,4.5943
562,0.4243,5.1115
563,0.3848,5.2575
564,0.4939,4.8628
565,0.4627,4.7002
566,0.3743,6.6854
567,0.3819,0.8059
568,0.4267,4.5517
569,0.4236,5.4631
570,0.3801,5.1032
571,0.3946,5.5782
572,0.3348,4.9697
573,0.3349,4.995
574,0.3932,5.3895
575,0.3446,5.4334
576,0.3337,4.8246
577,0.4786,3.9526
578,0.3892,5.2837
579,0.3696,4.8311
580,0.4749,4.5802
581,0.3418,5.3669
582,0.4921,5.0353
583,0.33,5.2417
584,0.3765,5.3436
585,0.4253,5.5237
586,0.3903,5.7012
587,0.437,5.6091
588,0.4281,5.7599
589,0.3901,4.7822
590,0.3767,4.7892
591,0.4723,5.3352
592,0.4344,4.7167
593,0.4006,5.0226
594,0.4385,5.0462
595,0.4465,5.1763
596,0.4722,4.914
597,0.5269,4.1377
598,0.6458,1.7969
599,0.375,6.1418
600,0.3995,5.8794
601,0.3473,5.6896
602,0.3587,5.9526
603,0.4592,5.1864
604,0.4324,4.9597
605,0.3406,5.3559
606,0.3544,5.0446
607,0.414,4.6944
608,0.3424,5.4341
609,0.3753,6.3637
610,0.349,5.2495
611,0.3735,5.378
612,0.3779,4.868
613,0.4565,2.205
614,0.3752,5.6932
615,0.4014,3.8769
616,0.4003,5.6379
617,0.43,5.4178
618,0.5129,4.6085
619,0.577,4.3753
620,0.5032,4.6685
621,0.5198,4.8586
622,0.5287,4.8426
623,0.3573,6.1345
624,0.3602,5.4085
625,0.3955,5.3718
626,0.3518,5.1946
627,0.3323,4.945
628,0.3533,5.4579
629,0.3408,5.6528
630,0.3686,5.8579
631,0.3478,5.4052
632,0.4174,4.9606
633,0.3903,5.0327
